,Pred_Ent
984,0.20543686
985,0.21558236
986,0.21628147
987,0.22056259
988,0.21946967
989,0.21952751
990,0.21790059
991,0.2190231
992,0.2223734
993,0.22244106
994,0.22425748
995,0.22168583
996,0.22255541
997,0.22458684
998,0.22512329
999,0.22644982
1000,0.22407325
1001,0.2282923
1002,0.22150679
1003,0.21746428
1004,0.21594548
1005,0.21479969
1006,0.2172389
1007,0.21837103
1008,0.22392927
1009,0.22875556
1010,0.22818448
1011,0.2289117
1012,0.22829407
1013,0.22960755
1014,0.2270641
1015,0.22870862
1016,0.2280593
1017,0.22938435
1018,0.22648495
1019,0.22771084
1020,0.23015831
1021,0.22993472
1022,0.23277178
1023,0.23150249
1024,0.22986776
1025,0.22595143
1026,0.22505173
1027,0.22667123
1028,0.22903903
1029,0.22830635
1030,0.22921166
1031,0.22951713
1032,0.23569372
1033,0.23431623
1034,0.23242584
1035,0.23247051
1036,0.22876361
1037,0.232245
1038,0.23218258
1039,0.23554225
1040,0.23616591
1041,0.2492618
1042,0.25264558
1043,0.2496812
1044,0.24957313
1045,0.24892089
1046,0.2507428
1047,0.25050178
1048,0.2478249
1049,0.2491265
1050,0.24783422
1051,0.24978232
1052,0.25075486
1053,0.25197738
1054,0.24877034
1055,0.24451655
1056,0.24070272
1057,0.24090081
1058,0.24509686
1059,0.25201774
1060,0.25216916
1061,0.24493225
1062,0.24218765
1063,0.2458187
1064,0.24719493
1065,0.24908777
1066,0.2541077
1067,0.25514486
1068,0.25658226
1069,0.25543377
1070,0.25313625
1071,0.25256434
1072,0.24884732
1073,0.25132215
1074,0.25182277
1075,0.2539337
1076,0.25141263
1077,0.25352752
1078,0.2542028
1079,0.25754976
1080,0.25946787
1081,0.25860536
1082,0.25768238
1083,0.2572972
1084,0.2584424
1085,0.25927302
1086,0.25981653
1087,0.26208144
1088,0.26296097
1089,0.2628215
1090,0.25942683
1091,0.25672847
1092,0.25966802
1093,0.26183066
1094,0.2652012
1095,0.2621775
1096,0.26035994
1097,0.25818375
1098,0.25319564
1099,0.25320905
1100,0.2526691
1101,0.25185153
1102,0.25681654
1103,0.255761
1104,0.25964585
1105,0.26046672
1106,0.26131418
1107,0.26492438
1108,0.25988096
1109,0.258681
1110,0.26110208
1111,0.25952682
1112,0.25720236
1113,0.25764173
1114,0.26147848
1115,0.26097903
1116,0.26022342
1117,0.25852367
1118,0.25487906
1119,0.25580218
1120,0.2550039
1121,0.25431603
1122,0.25894907
