,Pred_Ent
530,0.4902861
531,0.4823055
532,0.47406322
533,0.46526724
534,0.456073
535,0.44309402
536,0.4356866
537,0.42796355
538,0.41970202
539,0.4110647
540,0.42495745
541,0.4200331
542,0.41592258
543,0.4130519
544,0.41154855
545,0.4352503
546,0.43982142
547,0.44556397
548,0.4527738
549,0.46155408
550,0.47891355
551,0.494231
552,0.5096975
553,0.526008
554,0.5433603
555,0.5467152
556,0.56636065
557,0.5860048
558,0.6053301
559,0.62406975
560,0.6223768
561,0.6394477
562,0.6543268
563,0.6673433
564,0.67883307
565,0.6679324
566,0.6762547
567,0.68395156
568,0.6903028
569,0.69579405
570,0.68621653
571,0.69043434
572,0.69383043
573,0.69572127
574,0.6965472
575,0.67962635
576,0.67891794
577,0.6780819
578,0.67571414
579,0.672349
580,0.6563353
581,0.65167403
582,0.6473577
583,0.6421327
584,0.6365502
585,0.61875755
586,0.6113253
587,0.60453016
588,0.5975755
589,0.5909647
590,0.5820256
591,0.57450104
592,0.56760794
593,0.5605982
594,0.55364895
595,0.5365848
596,0.5281118
597,0.5201724
598,0.5120778
599,0.50434214
600,0.4930967
601,0.4848504
602,0.47718042
603,0.4696839
604,0.46264872
605,0.45375407
606,0.44820172
607,0.4426006
608,0.4369047
609,0.43097818
610,0.41872188
611,0.4154727
612,0.41172737
613,0.40715414
614,0.40227297
615,0.39103204
616,0.389266
617,0.38693452
618,0.3840232
619,0.38051155
620,0.3585829
621,0.3551809
622,0.35158908
623,0.34767228
624,0.34364164
625,0.32233506
626,0.31976318
627,0.31632635
628,0.312335
629,0.30751547
630,0.28486592
631,0.28152516
632,0.27723333
633,0.27183378
634,0.26562154
635,0.24243765
636,0.23616183
637,0.22964083
638,0.22281422
639,0.21540259
640,0.22161524
641,0.21887694
642,0.21634172
643,0.21474566
644,0.21355121
645,0.20306031
646,0.20463388
647,0.20621519
648,0.20845889
649,0.21100202
650,0.19445877
651,0.19791286
652,0.200886
653,0.20456128
654,0.20793371
655,0.18441695
656,0.185769
657,0.18692692
658,0.18916886
659,0.19119357
660,0.17780553
661,0.1785322
662,0.17914085
663,0.18063642
664,0.18216406
665,0.17586617
666,0.17635013
667,0.1775011
668,0.17947504
669,0.18159755
670,0.16489221
671,0.16408025
672,0.16344614
673,0.16438656
674,0.16543274
675,0.14917673
676,0.14769639
677,0.14617768
678,0.14541827
679,0.14483012
680,0.12644103
681,0.12476892
682,0.12260384
683,0.12025372
684,0.117628835
685,0.096850686
686,0.09331378
687,0.08870546
688,0.08444878
689,0.07960999
690,0.078849964
691,0.0776054
692,0.07563134
693,0.07364892
694,0.07150703
695,0.06439153
696,0.066503495
697,0.06747008
698,0.068851836
699,0.069591895
700,0.043998554
701,0.04568609
702,0.045385048
703,0.044048063
704,0.041370273
705,0.04347341
706,0.04566257
707,0.04689522
708,0.047632195
709,0.047877807
710,0.054441642
711,0.058009617
712,0.061288714
713,0.06549116
714,0.0695947
715,0.05161638
716,0.053531382
717,0.054710593
718,0.05638721
719,0.0568489
