,Pred_Ent
347,0.06800988
348,0.07063429
349,0.07429759
350,0.07533775
351,0.075901836
352,0.07429588
353,0.071256265
354,0.073759615
355,0.07091375
356,0.07121849
357,0.073169306
358,0.08258489
359,0.08346255
360,0.08586663
361,0.08855365
362,0.08726041
363,0.08686522
364,0.07953438
365,0.0776491
366,0.07811372
367,0.08552171
368,0.09040707
369,0.09067695
370,0.090601265
371,0.08891751
372,0.08533457
373,0.0828114
374,0.083214566
375,0.08120389
376,0.08027601
377,0.08329588
378,0.082266346
379,0.08453022
380,0.08733711
381,0.08991754
382,0.12864503
383,0.22992298
384,0.24577424
385,0.23268887
386,0.23112786
387,0.22069755
388,0.21902731
389,0.22153753
390,0.21484873
391,0.22356454
392,0.22117478
393,0.20724364
394,0.20149413
395,0.20572582
396,0.1918136
397,0.19052245
398,0.19718927
399,0.19685419
400,0.20215079
401,0.1980782
402,0.20312156
403,0.21209426
404,0.21826735
405,0.22427613
406,0.22442424
407,0.22995591
408,0.23356834
409,0.24188715
410,0.23821872
411,0.23460111
412,0.22633153
413,0.22787967
414,0.2319831
415,0.23444813
416,0.23572591
417,0.23545378
418,0.23499477
419,0.23507944
420,0.22487247
421,0.2263706
422,0.22226653
423,0.22130632
424,0.22623575
425,0.22080669
426,0.21932995
427,0.2202037
428,0.21895662
429,0.21892664
430,0.21980652
431,0.21421152
432,0.20791812
433,0.20526859
434,0.20175062
435,0.2005774
436,0.20001364
437,0.19857673
438,0.1912339
439,0.19358413
440,0.19658136
441,0.19943953
442,0.19765668
443,0.19634788
444,0.1979199
445,0.20022362
446,0.19379352
447,0.19279428
448,0.19794272
449,0.19833732
450,0.2048917
451,0.20490694
452,0.20068668
453,0.19241315
454,0.18898804
455,0.18892883
456,0.19253087
457,0.18209964
458,0.18417834
459,0.18535699
460,0.18377678
461,0.18447782
462,0.17956236
463,0.18037398
464,0.18476863
465,0.1906529
466,0.19049203
467,0.18862209
468,0.18784618
469,0.18634194
470,0.18508574
471,0.1837591
472,0.18168287
473,0.18624291
474,0.18632263
475,0.18426435
476,0.18414432
477,0.18531844
478,0.18191284
479,0.18614368
480,0.1877999
481,0.18660502
482,0.18587425
483,0.19129941
484,0.1915464
485,0.18492903
486,0.18083069
487,0.17893256
488,0.1839687
489,0.18931834
490,0.18846148
491,0.1876178
492,0.18457861
493,0.18112499
494,0.18413442
495,0.1822649
496,0.18316284
497,0.1910162
498,0.2017854
499,0.20232204
500,0.19909675
501,0.20014006
502,0.20132482
503,0.19867516
504,0.1950332
505,0.19499177
506,0.19801505
507,0.1997165
508,0.19801885
509,0.19297391
510,0.19468735
511,0.19145128
512,0.1856574
513,0.18220916
514,0.18614756
515,0.18234368
516,0.18251352
517,0.18394172
518,0.18169399
519,0.18235035
520,0.18468505
521,0.19148797
522,0.1955922
523,0.19445197
524,0.19460002
525,0.1931367
526,0.1940485
527,0.19341612
528,0.19008963
529,0.19066839
530,0.18967271
531,0.18138307
532,0.1782927
533,0.17666149
534,0.1736184
535,0.17283644
536,0.17466578
537,0.17214389
538,0.16998751
539,0.16980505
540,0.17194831
541,0.17201705
542,0.17154941
543,0.17010976
544,0.16750093
545,0.16321017
546,0.16349466
547,0.16241828
548,0.16615063
549,0.16803572
550,0.16739266
551,0.16830797
552,0.16634022
553,0.16252388
554,0.16246715
555,0.16399865
556,0.16119456
557,0.15997452
558,0.16082177
559,0.16014773
560,0.16263643
561,0.16529219
562,0.1647911
563,0.16301082
564,0.16554672
565,0.16393839
566,0.16363822
567,0.16418743
568,0.1659894
569,0.16475466
570,0.16414267
571,0.1663906
572,0.17068878
573,0.17070608
574,0.17159434
575,0.17080706
576,0.17092077
577,0.17242083
578,0.17538604
579,0.17273454
580,0.17169735
581,0.17055798
582,0.17003118
583,0.16959536
584,0.16956575
585,0.16796023
586,0.16729383
587,0.16773239
588,0.16796803
589,0.16756403
590,0.16523083
591,0.16916063
592,0.16819946
593,0.16932149
594,0.1658537
595,0.1638555
596,0.16558698
597,0.16665357
598,0.16561504
599,0.16748334
600,0.1703957
601,0.17097014
602,0.16961837
603,0.16723263
604,0.16549934
605,0.16490504
606,0.16622318
607,0.16642119
608,0.16697584
609,0.16761938
610,0.16897309
611,0.17160088
612,0.17038628
613,0.16804872
614,0.16507651
615,0.16678755
616,0.16767983
