Open,High,Low,Close,Adj Close,Volume
1296.5999755859375,1314.0999755859375,1296.5999755859375,1308.699951171875,1308.699951171875,264
1309.5,1313.5999755859375,1301.0999755859375,1305.5,1305.5,191
1311.800048828125,1323.800048828125,1311.199951171875,1320.0999755859375,1320.0999755859375,127
1319.0,1322.800048828125,1316.300048828125,1318.699951171875,1318.699951171875,76
1320.0999755859375,1330.0,1320.0999755859375,1327.199951171875,1327.199951171875,328
1322.699951171875,1322.699951171875,1291.5,1300.0,1300.0,238
1302.699951171875,1303.5,1295.0,1303.0999755859375,1303.0999755859375,177
1300.0999755859375,1303.0,1292.5,1293.4000244140625,1293.4000244140625,124
1290.0,1299.199951171875,1283.800048828125,1288.0,1288.0,100
1289.199951171875,1291.5999755859375,1276.0,1280.5999755859375,1280.5999755859375,100
1284.300048828125,1287.699951171875,1282.4000244140625,1284.199951171875,1284.199951171875,176
